brand,mention_share,engagement_score,avg_sentiment,positive_share,sov_score,total_mentions,total_engagement
atomberg,68.75,40.0,0.34540240062967337,68.18181818181817,57.13636363636363,44,36006316
crompton,12.5,3.0837578607042166,0.5712797619047618,75.0,21.233503144281688,8,2775869
havells,9.375,1.5421938750968027,0.6805555555555557,83.33333333333334,21.033544216705387,6,1388218
orient,9.375,1.5100739548028188,0.621031746031746,83.33333333333334,21.020696248587797,6,1359305
bajaj,0.0,0.0,0.0,0.0,0.0,0,0
usha,0.0,0.0,0.0,0.0,0.0,0,0
